name,geoid,geometry
"Lynchburg, VA",31340,"list(list(c(-79.498699, -79.4411, -79.457967, -79.345235, -79.298268, -79.234017, -79.172131, -79.074378, -79.067355, -78.986017, -78.96696, -78.900121, -78.825238, -78.705011, -78.683224, -78.594436, -78.601434, -78.673332, -78.727025, -78.777293, -78.824209, -78.903393, -78.97642, -79.001608, -79.092264, -79.127139, -79.194525, -79.205202, -79.244166, -79.300502, -79.336037, -79.401681, -79.404165, -79.491388, -79.51176, -79.594069, -79.651194, -79.702926, -79.718275, -79.757703, -79.779887, -79.833008, 
-79.858405, -79.844198, -79.788679, -79.814203, -79.756185, -79.69006, -79.658798, -79.593707, -79.498699, 37.532797, 37.563445, 37.605835, 37.660625, 37.750223, 37.812329, 37.803097, 37.781152, 37.720255, 37.695546, 37.676479, 37.547076, 37.552542, 37.456593, 37.428974, 37.397974, 37.351367, 37.268511, 37.225437, 37.229107, 37.205361, 37.024371, 37.048551, 37.030975, 37.061498, 37.089864, 37.055816, 37.110801, 37.124307, 37.105796, 37.130392, 37.09323, 37.064161, 37.059538, 37.032438, 37.042206, 
37.126749, 37.149444, 37.18972, 37.189968, 37.231513, 37.216049, 37.267155, 37.31775, 37.34935, 37.403654, 37.425384, 37.476374, 37.48501, 37.448864, 37.532797)))"
"Santa Rosa, CA",42220,"list(list(c(-123.533535, -123.497042, -123.368236, -123.368394, -123.136253, -123.136636, -123.080997, -122.821592, -122.746198, -122.691835, -122.646569, -122.627396, -122.646421, -122.620846, -122.543893, -122.544733, -122.507287, -122.497475, -122.44789, -122.394917, -122.40476, -122.359924, -122.371116, -122.406786, -122.3981289, -122.439577, -122.490727, -122.568384, -122.648986, -122.7399, -122.901726, -122.966124, -123.0029112, -123.074684, -123.068265, -123.128825, -123.202277, -123.249797, 
-123.331899, -123.461291, -123.514784, -123.533535, 38.768408, 38.778604, 38.777066, 38.80664, 38.809136, 38.839448, 38.852438, 38.85014, 38.799248, 38.710946, 38.706177, 38.667506, 38.598593, 38.560317, 38.519966, 38.495675, 38.457254, 38.424306, 38.379312, 38.304479, 38.28182, 38.230501, 38.15772, 38.155632, 38.1427994, 38.116923, 38.1097551, 38.176836, 38.181077, 38.207018, 38.316943, 38.31697, 38.2957084, 38.322574, 38.359865, 38.450418, 38.494314, 38.511045, 38.565542, 38.717001, 38.741966, 
38.768408)))"
"Greenwood, MS",24900,"list(list(c(-90.453233, -90.451643, -90.182459, -90.204205, -90.294502, -90.313859, -90.269105, -90.220439, -90.136787, -90.137011, -89.78689, -89.785227, -89.715847, -89.646314, -89.64528, -89.701514, -89.749441, -90.125084, -90.295029, -90.29169, -90.343788, -90.374161, -90.381958, -90.414182, -90.453801, -90.453233, 33.329484, 33.81139, 33.808968, 33.759446, 33.750981, 33.725746, 33.697208, 33.722122, 33.721648, 33.676944, 33.676727, 33.416275, 33.416766, 33.402544, 33.285515, 33.285359, 33.214478, 
33.31932, 33.361784, 33.31901, 33.309061, 33.281928, 33.244401, 33.235853, 33.267302, 33.329484)))"
"Tulsa, OK",46140,"list(list(c(-96.749838, -96.5255777, -96.00081, -96.001171, -95.81268, -95.809617, -95.32837, -95.32817, -95.43561, -95.435518, -95.43997, -95.207946, -95.225466, -95.278701, -95.277491, -95.231459, -95.265679, -95.360363, -95.420248, -95.477552, -95.563091, -95.584647, -95.639791, -95.65042, -95.766166, -95.766265, -95.713081, -95.712957, -95.822361, -95.823396, -95.875572, -95.875626, -96.08753, -96.087795, -96.192844, -96.192563, -96.620648, -96.621097, -96.621441, -96.819005, -96.818968, -96.925069, 
-96.924936, -97.032106, -97.032118, -96.996194, -96.89908, -96.912756, -97.004293, -97.057414, -97.044685, -97.064107, -97.030678, -96.931943, -96.888581, -96.834103, -96.822585, -96.752389, -96.749838, 36.998988, 36.998712, 36.99886, 36.423686, 36.42356, 36.597476, 36.59763, 36.51024, 36.51016, 36.24932, 36.0752, 36.074708, 36.0092, 35.964102, 35.898488, 35.851195, 35.813266, 35.822411, 35.799599, 35.804199, 35.787908, 35.765556, 35.790986, 35.856756, 35.856403, 35.72575, 35.725807, 35.551802, 35.551693, 
35.463969, 35.463625, 35.37669, 35.376877, 35.552119, 35.551902, 35.639087, 35.639005, 35.941519, 36.159929, 36.158886, 36.246478, 36.246474, 36.333344, 36.333354, 36.506957, 36.528979, 36.553224, 36.598949, 36.582595, 36.593647, 36.602721, 36.684207, 36.70159, 36.686097, 36.751793, 36.743438, 36.767559, 36.782091, 36.998988)))"
"Cookeville, TN",18260,"list(list(c(-85.813885, -85.767125, -85.704075, -85.667353, -85.57596, -85.504865, -85.481736, -85.438808, -85.392619, -85.337916, -85.269219, -85.150309, -85.120445, -85.122245, -85.082497, -85.100213, -85.15275, -85.235757, -85.264206, -85.311302, -85.311678, -85.356619, -85.507677, -85.560459, -85.655388, -85.686743, -85.722648, -85.775976, -85.807415, -85.799454, -85.780148, -85.823903, -85.846483, -85.813885, 36.499473, 36.517197, 36.522395, 36.496032, 36.471617, 36.407793, 36.454309, 36.501102, 
36.504484, 36.527845, 36.540265, 36.460068, 36.407164, 36.304599, 36.196171, 36.138561, 36.099544, 36.105752, 35.979154, 35.992997, 36.022564, 36.045893, 36.082012, 36.073471, 36.017468, 36.064802, 36.081986, 36.078328, 36.131582, 36.206309, 36.238011, 36.251278, 36.288167, 36.499473)))"
"San Diego-Carlsbad, CA",41740,"list(list(c(-117.5961472, -117.57848, -117.509581, -117.509722, -117.364272, -117.370925, -117.242167, -117.241271, -117.030861, -116.518401, -116.197591, -116.085165, -116.08109, -116.103252, -116.1061814, -116.62705, -117.124862, -117.139464, -117.196767, -117.246069, -117.26107, -117.28217, -117.25167, -117.28077, -117.328359, -117.445583, -117.50565, -117.5961472, 33.3871677, 33.453927, 33.471633, 33.505019, 33.505025, 33.490549, 33.449015, 33.431993, 33.426931, 33.426887, 33.428893, 33.425932, 
33.074833, 33.07467, 32.6186414, 32.576261, 32.534156, 32.627054, 32.688851, 32.669352, 32.803148, 32.839547, 32.874346, 33.012343, 33.121842, 33.268517, 33.334063, 33.3871677)))"
"Oneonta, NY",36580,"list(list(c(-75.295877, -75.251944, -75.247963, -75.210642, -75.13987, -75.100999, -74.906738, -74.878822, -74.763303, -74.648298, -74.667512, -74.630652, -74.71158, -74.777776, -74.844121, -75.01981, -75.093408, -75.147133, -75.269461, -75.308405, -75.37913, -75.40669, -75.374905, -75.404489, -75.367395, -75.332949, -75.331103, -75.295877, 42.744106, 42.783951, 42.871604, 42.856549, 42.85976, 42.908363, 42.824943, 42.898274, 42.863237, 42.829558, 42.75071, 42.62677, 42.517799, 42.506327, 42.512591, 
42.429159, 42.420634, 42.385662, 42.351027, 42.321151, 42.320852, 42.380781, 42.410784, 42.479613, 42.552484, 42.566312, 42.661072, 42.744106)))"
"Rockingham, NC",40460,"list(list(c(-80.075365, -80.022232, -79.983292, -79.89861, -79.851268, -79.749463, -79.673494, -79.614304, -79.573905, -79.565136, -79.501304, -79.458751, -79.573423, -79.585618, -79.561856, -79.626557, -79.622929, -79.6929464, -79.9274158, -79.899748, -79.850536, -79.872303, -79.863707, -79.89929, -79.877197, -79.907851, -79.923972, -79.992941, -80.064317, -80.075365, 35.143081, 35.137378, 35.158477, 35.161714, 35.183855, 35.172999, 35.175374, 35.163679, 35.121956, 35.063665, 35.064235, 35.043639, 
34.99221, 34.954745, 34.91035, 34.852284, 34.826817, 34.8049734, 34.8065508, 34.858451, 34.898376, 34.950371, 34.97657, 35.003674, 35.03531, 35.065656, 35.11543, 35.08559, 35.110228, 35.143081)))"
"Pine Bluff, AR",38220,"list(list(c(-92.336765, -92.233376, -92.232548, -92.212906, -92.208041, -91.705185, -91.711795, -91.540178, -91.514374, -91.451931, -91.436458, -91.437131, -91.465733, -91.548668, -91.557648, -91.664067, -91.975974, -91.975844, -92.330839, -92.341548, -92.334249, -92.353225, -92.394608, -92.42022, -92.475602, -92.471667, -92.336765, 34.059633, 34.062312, 34.230822, 34.2304, 34.492765, 34.48267, 34.233919, 34.224599, 34.142293, 34.133865, 34.083861, 34.034663, 33.975798, 33.976799, 33.783384, 33.792245, 
33.791787, 33.704414, 33.707806, 33.745817, 33.795065, 33.853099, 33.884831, 33.938486, 33.972696, 34.057054, 34.059633)))"
"Boulder, CO",14500,"list(list(c(-105.653321, -105.390996, -105.375226, -105.055089, -105.052823, -105.076637, -105.128165, -105.147143, -105.397849, -105.457484, -105.675798, -105.683164, -105.638797, -105.626566, -105.667729, -105.677644, -105.653321, 40.260457, 40.257884, 40.261291, 40.261793, 40.00026, 39.943329, 39.939618, 39.913889, 39.912886, 39.932187, 39.932445, 39.992881, 40.038787, 40.118654, 40.158276, 40.197211, 40.260457)))"
