name,geoid,st_code,geometry
Ballard,21007,21,"list(list(c(-89.1718806, -89.111189, -89.092934, -89.029981, -88.974711, -88.933405, -88.815952, -88.917183, -88.990832, -89.020276, -89.071162, -89.100762, -89.099594, -89.132685, -89.166447, -89.181369, -89.1718806, 37.068184, 37.119052, 37.156439, 37.211144, 37.229708, 37.2251871, 36.9541, 36.940843, 36.919477, 36.928451, 36.915559, 36.9440018, 36.964543, 36.9822, 37.003337, 37.046305, 37.068184)))"
Bourbon,21017,21,"list(list(c(-84.442661, -84.372308, -84.281844, -84.19405, -84.166253, -84.115422, -84.095324, -84.057214, -84.027519, -83.977367, -83.977924, -83.990171, -84.080527, -84.286461, -84.379369, -84.373755, -84.35515, -84.378481, -84.401847, -84.442661, 38.283236, 38.279509, 38.312461, 38.37175, 38.354913, 38.279133, 38.259014, 38.256829, 38.218005, 38.220048, 38.192118, 38.175067, 38.115118, 38.067028, 38.111122, 38.157572, 38.178036, 38.211357, 38.207889, 38.283236)))"
Butler,21031,21,"list(list(c(-86.899268, -86.853405, -86.818836, -86.817168, -86.775263, -86.759533, -86.612095, -86.487152, -86.469126, -86.399165, -86.41631, -86.467309, -86.49649, -86.541038, -86.618158, -86.616881, -86.674462, -86.84535, -86.941391, -86.897252, -86.926882, -86.900384, -86.899268, 37.212313, 37.250495, 37.305283, 37.327616, 37.325928, 37.304099, 37.395123, 37.362501, 37.321099, 37.169896, 37.153091, 37.153457, 37.190708, 37.176008, 37.183906, 37.146579, 36.999766, 37.056513, 37.068981, 37.09169, 
37.16027, 37.184372, 37.212313)))"
Estill,21065,21,"list(list(c(-84.080337, -84.076027, -84.001967, -83.962554, -83.963262, -83.876863, -83.830347, -83.777592, -83.768963, -83.7221, -83.7496, -83.824088, -83.83246, -83.90557, -83.965244, -84.045023, -84.090364, -84.126948, -84.096094, -84.091664, -84.073908, -84.099159, -84.080337, 37.853066, 37.824176, 37.837592, 37.844644, 37.800136, 37.752089, 37.765247, 37.756776, 37.741097, 37.71642, 37.714846, 37.662974, 37.636259, 37.542856, 37.581421, 37.563573, 37.566227, 37.642421, 37.661671, 37.72445, 37.801117, 
37.815605, 37.853066)))"
Fleming,21069,21,"list(list(c(-83.930348, -83.85928, -83.721744, -83.641852, -83.606764, -83.576791, -83.579081, -83.485787, -83.452848, -83.470207, -83.499266, -83.507953, -83.61549, -83.635195, -83.685828, -83.69945, -83.737793, -83.732318, -83.822957, -83.848355, -83.835152, -83.869398, -83.90479, -83.9491, -83.980068, -83.970263, -83.930348, 38.492278, 38.456348, 38.503982, 38.525381, 38.505433, 38.457188, 38.430166, 38.405066, 38.381799, 38.355217, 38.349351, 38.273155, 38.192977, 38.187525, 38.214107, 38.246058, 
38.265285, 38.283452, 38.300809, 38.296949, 38.317108, 38.351714, 38.366222, 38.422824, 38.439448, 38.463817, 38.492278)))"
Hardin,21093,21,"list(list(c(-86.27527, -86.151285, -86.007386, -85.975948, -85.999004, -85.947114, -85.938321, -85.906763, -85.905177, -85.854871, -85.82746, -85.838198, -85.817337, -85.772599, -85.737777, -85.728133, -85.682434, -85.680488, -85.736209, -85.80352, -85.819295, -85.876006, -85.892804, -86.047598, -86.064073, -86.114095, -86.143045, -86.232189, -86.240879, -86.27527, 37.593519, 37.798878, 37.818522, 37.875793, 37.9999833, 38.005085, 37.998756, 37.991246, 37.942579, 37.945385, 37.900631, 37.879284, 
37.858261, 37.841914, 37.81179, 37.774178, 37.757698, 37.732284, 37.654364, 37.621586, 37.584227, 37.543259, 37.440308, 37.449933, 37.507902, 37.567131, 37.559539, 37.575026, 37.596849, 37.593519)))"
Hart,21099,21,"list(list(c(-86.047598, -85.892804, -85.657332, -85.652906, -85.685485, -85.697325, -85.682301, -85.67899, -85.686482, -85.744221, -85.857058, -85.906494, -86.056443, -86.049133, -86.157589, -86.073626, -86.067317, -86.039018, -86.047598, 37.449933, 37.440308, 37.421996, 37.391054, 37.361306, 37.301838, 37.288443, 37.249996, 37.182427, 37.169813, 37.151137, 37.148392, 37.167208, 37.215285, 37.335649, 37.348045, 37.38294, 37.403818, 37.449933)))"
Leslie,21131,21,"list(list(c(-83.507886, -83.483275, -83.471821, -83.442372, -83.397915, -83.351774, -83.344161, -83.274053, -83.214542, -83.226704, -83.194034, -83.169191, -83.166024, -83.182104, -83.230339, -83.26002, -83.323919, -83.384557, -83.408614, -83.489813, -83.509083, -83.523037, -83.545606, -83.535284, -83.551237, -83.551303, -83.505113, -83.507886, 37.235877, 37.251861, 37.291248, 37.287455, 37.316564, 37.295682, 37.260624, 37.202181, 37.176078, 37.139061, 37.109099, 37.102438, 37.071169, 37.021115, 
37.002739, 36.968951, 36.940709, 36.925913, 36.890218, 36.895413, 36.938509, 36.998487, 37.04859, 37.103096, 37.119056, 37.16751, 37.204213, 37.235877)))"
Madison,21151,21,"list(list(c(-84.525643, -84.476287, -84.48512, -84.43572, -84.393007, -84.366413, -84.383587, -84.337393, -84.272406, -84.261377, -84.221911, -84.186846, -84.167954, -84.128221, -84.080337, -84.099159, -84.073908, -84.091664, -84.096094, -84.126948, -84.090364, -84.171836, -84.199489, -84.262977, -84.347805, -84.37533, -84.396651, -84.453702, -84.485404, -84.494485, -84.525643, 37.769497, 37.801991, 37.840637, 37.847202, 37.847494, 37.863342, 37.89381, 37.892007, 37.917546, 37.89489, 37.871991, 37.879232, 
37.863008, 37.867161, 37.853066, 37.815605, 37.801117, 37.72445, 37.661671, 37.642421, 37.566227, 37.557549, 37.522858, 37.515569, 37.539064, 37.595467, 37.599572, 37.691206, 37.711126, 37.747461, 37.769497)))"
Marion,21155,21,"list(list(c(-85.52129, -85.450493, -85.401784, -85.373938, -85.373898, -85.340697, -85.311239, -85.256949, -85.030172, -85.039674, -85.044502, -85.073772, -85.1288, -85.169565, -85.222177, -85.246195, -85.355364, -85.425323, -85.46625, -85.503001, -85.52129, 37.554343, 37.685948, 37.730658, 37.699833, 37.673606, 37.651423, 37.651776, 37.630908, 37.63127, 37.545232, 37.419116, 37.413669, 37.453261, 37.464004, 37.444777, 37.420361, 37.470974, 37.474386, 37.465595, 37.54909, 37.554343)))"
Nelson,21179,21,"list(list(c(-85.737777, -85.698851, -85.643254, -85.579721, -85.585683, -85.549074, -85.489202, -85.399559, -85.167834, -85.152797, -85.181399, -85.205394, -85.297943, -85.319419, -85.355835, -85.373323, -85.401784, -85.450493, -85.52129, -85.551131, -85.570752, -85.623949, -85.606766, -85.57269, -85.601009, -85.592497, -85.637889, -85.645522, -85.680488, -85.682434, -85.728133, -85.737777, 37.81179, 37.811228, 37.834033, 37.883481, 37.907729, 37.928243, 37.990654, 37.939929, 37.971809, 37.897661, 
37.892428, 37.863179, 37.832386, 37.78776, 37.781428, 37.739581, 37.730658, 37.685948, 37.554343, 37.554024, 37.527187, 37.546491, 37.59045, 37.637978, 37.657504, 37.693905, 37.696683, 37.71638, 37.732284, 37.757698, 37.774178, 37.81179)))"
Kankakee,17091,17,"list(list(c(-88.251501, -88.240889, -88.244144, -88.01181, -88.013919, -87.5267289, -87.5265868, -87.5263438, -88.131935, -88.2473, -88.251501, 41.114218, 41.114383, 41.201566, 41.205508, 41.292447, 41.298052, 41.1660901, 41.0103386, 40.997777, 40.99456, 41.114218)))"
Warren,17187,17,"list(list(c(-90.785194, -90.54725, -90.439423, -90.444339, -90.445506, -90.673198, -90.789652, -90.785194, 41.068749, 41.064048, 41.063995, 40.714868, 40.627843, 40.631544, 40.63575, 41.068749)))"
Will,17197,17,"list(list(c(-88.261275, -88.030352, -88.028973, -88.027688, -87.91193, -87.909378, -87.792793, -87.790303, -87.525705, -87.5267289, -88.013919, -88.01181, -88.244144, -88.252231, -88.261275, 41.724656, 41.728894, 41.685242, 41.641506, 41.643933, 41.556881, 41.55854, 41.469846, 41.470283, 41.298052, 41.292447, 41.205508, 41.201566, 41.463066, 41.724656)))"
Daviess,18027,18,"list(list(c(-87.098771, -86.904252, -86.904227, -86.922943, -86.924186, -86.939774, -86.993951, -87.072369, -87.107653, -87.149961, -87.175588, -87.242097, -87.241755, -87.252958, -87.267012, -87.244819, -87.239915, -87.140574, -87.135836, -87.098771, 38.903974, 38.904204, 38.817511, 38.817238, 38.505358, 38.495023, 38.513037, 38.5147, 38.537705, 38.515615, 38.544011, 38.54493, 38.619793, 38.631454, 38.700722, 38.748545, 38.819264, 38.843513, 38.871963, 38.903974)))"
Harrison,18061,18,"list(list(c(-86.255045, -86.032817, -86.032559, -85.992358, -85.955224, -85.957576, -85.8995822, -85.907965, -85.905266, -85.925654, -85.947114, -85.999004, -86.025561, -86.050029, -86.079389, -86.1283, -86.176557, -86.267203, -86.2791, -86.270269, -86.28711, -86.3296724, -86.276956, -86.264951, -86.276363, -86.251716, -86.255045, 38.422685, 38.417898, 38.33066, 38.275379, 38.260501, 38.186072, 38.1803205, 38.161473, 38.088933, 38.021784, 38.005085, 37.9999833, 37.994505, 37.9605, 38.000625, 38.016192, 
38.01023, 38.056798, 38.100754, 38.129783, 38.157939, 38.1817018, 38.227126, 38.295874, 38.340306, 38.406132, 38.422685)))"
Autauga,01001,01,"list(list(c(-86.917595, -86.816574, -86.71339, -86.714219, -86.413116, -86.411172, -86.45914, -86.462497, -86.496774, -86.532531, -86.542537, -86.614841, -86.618, -86.653419, -86.678795, -86.711337, -86.717897, -86.749981, -86.781354, -86.773163, -86.791073, -86.814912, -86.815399, -86.843758, -86.849898, -86.906742, -86.898304, -86.918817, -86.917595, 32.664169, 32.660117, 32.661732, 32.705694, 32.707386, 32.409937, 32.395781, 32.378135, 32.344437, 32.338775, 32.363517, 32.374266, 32.405717, 32.397247, 
32.355359, 32.360767, 32.402814, 32.389105, 32.392494, 32.340728, 32.314611, 32.340803, 32.370821, 32.400416, 32.438325, 32.536977, 32.567687, 32.644278, 32.664169)))"
Barbour,01005,01,"list(list(c(-85.657668, -85.648767, -85.604769, -85.587344, -85.51236, -85.512643, -85.428476, -85.427442, -85.410241, -85.257747, -85.256307, -85.185067, -85.056029, -85.055075, -85.0680982, -85.09823, -85.140131, -85.132931, -85.140951, -85.1269541, -85.148434, -85.206409, -85.216076, -85.416038, -85.416437, -85.748251, -85.716146, -85.717911, -85.695602, -85.663629, -85.677672, -85.657668, 31.880275, 31.911615, 31.960852, 31.997355, 31.999694, 32.014055, 32.014951, 32.13935, 32.146651, 32.148251, 
32.136249, 32.061708, 32.063055, 32.010714, 31.991857, 31.926259, 31.858761, 31.792363, 31.7804603, 31.7623303, 31.773468, 31.741057, 31.702409, 31.706664, 31.619466, 31.618048, 31.660505, 31.698032, 31.747834, 31.782358, 31.852244, 31.880275)))"
