stco_code,co_name,co_pop,co_emp,co_pcturban,co_type,st_fips,st_name,st_emp,cbsa_code,cbsa_name,cbsa_type,cbsa_pop,cbsa_emp,cbsa_size
01099,"Monroe County, Alabama",21745,5400,20.96,rural counties,01,Alabama,1614526,NA,NA,nonmetro,NA,NA,nonmetro
01079,"Lawrence County, Alabama",33288,3138,8.71,small metro counties,01,Alabama,1614526,19460,"Decatur, AL",metro,152445,45875,small metro
01081,"Lee County, Alabama",156597,43945,72.59,small metro counties,01,Alabama,1614526,12220,"Auburn-Opelika, AL",metro,156597,43945,small metro
01093,"Marion County, Alabama",30058,7656,11.15,rural counties,01,Alabama,1614526,NA,NA,nonmetro,NA,NA,nonmetro
01107,"Pickens County, Alabama",20170,2639,0,small metro counties,01,Alabama,1614526,46220,"Tuscaloosa, AL",metro,248122,84489,small metro
01119,"Sumter County, Alabama",13084,2991,0,rural counties,01,Alabama,1614526,NA,NA,nonmetro,NA,NA,nonmetro
01073,"Jefferson County, Alabama",659460,314992,90.17,Mature suburbs,01,Alabama,1614526,13820,"Birmingham-Hoover, AL",top100,1079170,432538,large metro
01023,"Choctaw County, Alabama",13188,2835,0,rural counties,01,Alabama,1614526,NA,NA,nonmetro,NA,NA,nonmetro
01059,"Franklin County, Alabama",31507,9646,29.63,rural counties,01,Alabama,1614526,NA,NA,nonmetro,NA,NA,nonmetro
01091,"Marengo County, Alabama",19743,6045,30.68,rural counties,01,Alabama,1614526,NA,NA,nonmetro,NA,NA,nonmetro
01113,"Russell County, Alabama",58480,11156,64.59,small metro counties,01,Alabama,1614526,17980,"Columbus, GA-AL",metro,322234,97511,medium metro
01019,"Cherokee County, Alabama",25855,3905,14.26,rural counties,01,Alabama,1614526,NA,NA,nonmetro,NA,NA,nonmetro
01039,"Covington County, Alabama",37519,10187,30.35,rural counties,01,Alabama,1614526,NA,NA,nonmetro,NA,NA,nonmetro
01041,"Crenshaw County, Alabama",13866,3355,0,rural counties,01,Alabama,1614526,NA,NA,nonmetro,NA,NA,nonmetro
01047,"Dallas County, Alabama",40755,10487,54.36,micropolitan counties,01,Alabama,1614526,42820,"Selma, AL",micro,40755,10487,micro
01077,"Lauderdale County, Alabama",92590,25563,50.7,small metro counties,01,Alabama,1614526,22520,"Florence-Muscle Shoals, AL",metro,147025,48037,small metro
01085,"Lowndes County, Alabama",10362,1969,0,small metro counties,01,Alabama,1614526,33860,"Montgomery, AL",metro,373507,131011,medium metro
01087,"Macon County, Alabama",19358,5244,44.45,rural counties,01,Alabama,1614526,NA,NA,nonmetro,NA,NA,nonmetro
01083,"Limestone County, Alabama",91695,16958,42.39,small metro counties,01,Alabama,1614526,26620,"Huntsville, AL",metro,444908,175587,medium metro
01117,"Shelby County, Alabama",208721,83416,77.06,Mature suburbs,01,Alabama,1614526,13820,"Birmingham-Hoover, AL",top100,1079170,432538,large metro
01115,"St. Clair County, Alabama",86937,16848,27.2,Emerging suburbs,01,Alabama,1614526,13820,"Birmingham-Hoover, AL",top100,1079170,432538,large metro
01133,"Winston County, Alabama",23968,6393,15.11,rural counties,01,Alabama,1614526,NA,NA,nonmetro,NA,NA,nonmetro
01003,"Baldwin County, Alabama",203360,61341,57.72,small metro counties,01,Alabama,1614526,19300,"Daphne-Fairhope-Foley, AL",metro,203360,61341,small metro
01043,"Cullman County, Alabama",81703,25274,26.76,micropolitan counties,01,Alabama,1614526,18980,"Cullman, AL",micro,81703,25274,micro
01051,"Elmore County, Alabama",80989,14359,45.81,small metro counties,01,Alabama,1614526,33860,"Montgomery, AL",metro,373507,131011,medium metro
01069,"Houston County, Alabama",104108,43799,66.2,small metro counties,01,Alabama,1614526,20020,"Dothan, AL",metro,147790,50246,small metro
01071,"Jackson County, Alabama",52326,13259,22.98,micropolitan counties,01,Alabama,1614526,42460,"Scottsboro, AL",micro,52326,13259,micro
01121,"Talladega County, Alabama",80888,24080,44.18,micropolitan counties,01,Alabama,1614526,45180,"Talladega-Sylacauga, AL",micro,80888,24080,micro
01125,"Tuscaloosa County, Alabama",204424,78617,74.49,small metro counties,01,Alabama,1614526,46220,"Tuscaloosa, AL",metro,248122,84489,small metro
01129,"Washington County, Alabama",16746,4979,0,small metro counties,01,Alabama,1614526,33660,"Mobile, AL",metro,431074,156631,medium metro
01027,"Clay County, Alabama",13407,3277,0,rural counties,01,Alabama,1614526,NA,NA,nonmetro,NA,NA,nonmetro
01031,"Coffee County, Alabama",51073,13388,52.8,micropolitan counties,01,Alabama,1614526,21460,"Enterprise, AL",micro,51073,13388,micro
